id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
43907479,t,Brooklyn,2,0.0,1.0,1.0,90,30,0,0,2,66,4,4.75,1.94
43909068,f,Manhattan,5,0.0,0.0,3.0,145,1,19,40,59,91,16,3.88,4.75
43909188,f,Manhattan,2,0.0,0.0,1.0,145,30,0,6,36,126,2,5.0,0.14
43909203,f,Manhattan,6,0.0,2.0,2.0,265,30,23,53,83,296,1,5.0,0.11
43909501,f,Queens,8,0.0,3.0,5.0,200,2,2,29,59,334,2,2.5,0.14
43909578,f,Manhattan,4,0.0,2.0,2.0,110,5,1,1,1,1,4,5.0,0.96
43909885,f,Manhattan,3,0.0,0.0,1.0,140,30,1,9,39,314,1,5.0,0.2
43911466,f,Manhattan,5,0.0,2.0,4.0,170,2,5,11,23,275,43,4.84,15.73
43911773,f,Manhattan,4,0.0,2.0,2.0,165,180,23,53,83,83,0,0.0,0.0
43911780,f,Brooklyn,2,0.0,1.0,1.0,150,30,13,27,32,105,0,0.0,0.0
43912376,f,Manhattan,2,0.0,1.0,2.0,250,31,0,0,0,0,0,0.0,0.0
43912956,f,Brooklyn,3,0.0,1.0,3.0,66,1,6,7,31,284,16,4.88,7.06
43913971,f,Staten Island,5,0.0,3.0,3.0,300,30,0,0,6,281,0,0.0,0.0
43921107,f,Manhattan,2,0.0,1.0,1.0,100,60,0,0,0,0,0,0.0,0.0
43921782,f,Manhattan,2,0.0,0.0,1.0,129,30,0,0,0,0,0,0.0,0.0
43922156,f,Manhattan,1,0.0,1.0,1.0,63,2,4,14,27,276,21,5.0,1.47
43922308,t,Brooklyn,1,0.0,1.0,1.0,38,1,0,0,0,185,34,4.97,2.64
43924070,f,Manhattan,2,0.0,1.0,1.0,160,30,6,18,48,138,2,5.0,0.16
43928496,f,Brooklyn,2,0.0,2.0,1.0,190,30,13,43,73,253,0,0.0,0.0
43928617,f,Manhattan,4,0.0,1.0,1.0,80,30,0,0,0,0,0,0.0,0.0
43928714,f,Manhattan,3,0.0,0.0,1.0,99,30,5,35,65,340,2,4.5,0.92
43929087,f,Brooklyn,1,0.0,1.0,1.0,150,30,29,59,89,364,0,0.0,0.0
43929508,f,Manhattan,4,0.0,1.0,2.0,130,30,0,0,0,0,0,0.0,0.0
43931057,f,Manhattan,2,0.0,1.0,1.0,262,3,0,10,10,10,3,5.0,0.42
43931225,f,Queens,2,0.0,1.0,1.0,37,30,5,35,35,35,0,0.0,0.0
43931358,f,Queens,1,0.0,1.0,1.0,31,30,3,3,3,3,0,0.0,0.0
43931448,f,Queens,1,0.0,1.0,1.0,31,30,1,1,1,1,0,0.0,0.0
43931518,f,Queens,1,0.0,1.0,1.0,32,30,4,34,34,34,1,4.0,0.61
43932082,f,Queens,1,0.0,1.0,1.0,34,30,0,0,0,0,1,3.0,0.08
43938848,f,Manhattan,3,0.0,1.0,2.0,350,60,0,0,0,0,9,4.67,0.65
43939199,f,Manhattan,4,0.0,2.0,2.0,86,30,0,0,0,214,19,4.84,1.86
43939694,f,Manhattan,4,0.0,0.0,3.0,149,1,24,54,84,101,25,4.0,2.21
43939702,f,Manhattan,2,0.0,1.0,1.0,200,30,0,0,0,64,0,0.0,0.0
43945729,f,Manhattan,1,0.0,1.0,1.0,65,3,1,1,1,1,5,4.8,0.5
43946617,f,Queens,3,0.0,0.0,1.0,79,2,7,29,40,297,5,5.0,2.31
43947542,f,Queens,8,0.0,3.0,3.0,270,3,4,30,60,149,10,4.4,0.71
43947562,t,Manhattan,1,0.0,2.0,1.0,60,60,0,0,0,0,1,5.0,0.07
43954469,t,Brooklyn,2,0.0,1.0,1.0,160,1,0,0,0,0,14,4.86,1.19
43954900,f,Brooklyn,2,0.0,1.0,1.0,168,30,0,0,0,0,0,0.0,0.0
43956052,f,Manhattan,4,0.0,0.0,2.0,137,1,27,57,85,108,24,4.04,1.95
43956496,f,Brooklyn,1,0.0,1.0,0.0,40,30,0,0,0,0,0,0.0,0.0
43956795,f,Brooklyn,1,0.0,0.0,1.0,62,29,0,20,50,325,2,5.0,0.15
43957282,f,Manhattan,3,0.0,1.0,1.0,135,35,0,0,24,24,2,5.0,0.15
43957400,f,Manhattan,2,0.0,1.0,1.0,110,30,0,0,29,29,0,0.0,0.0
43959626,f,Manhattan,5,0.0,0.0,3.0,150,1,6,29,47,74,53,4.43,4.65
43959641,f,Bronx,2,0.0,1.0,2.0,50,30,0,1,31,31,0,0.0,0.0
43960495,f,Brooklyn,1,0.0,1.0,1.0,25,30,29,59,89,89,0,0.0,0.0
43960690,f,Queens,2,0.0,1.0,1.0,38,30,0,0,0,0,1,5.0,0.12
43965128,f,Manhattan,5,0.0,2.0,4.0,100,2,0,0,0,0,9,4.67,0.64
43968694,f,Queens,16,0.0,5.0,8.0,1156,2,24,51,81,245,37,4.54,2.72
43969268,f,Manhattan,2,0.0,1.0,1.0,2850,1,30,60,90,90,0,0.0,0.0
43970826,f,Brooklyn,4,0.0,2.0,2.0,49,1,2,25,25,25,46,4.78,7.01
43971504,f,Brooklyn,3,0.0,1.0,2.0,195,3,1,2,2,29,2,5.0,1.54
43977634,f,Manhattan,2,0.0,1.0,1.0,150,30,0,0,0,0,0,0.0,0.0
43980129,t,Manhattan,2,0.0,1.0,1.0,200,30,1,3,30,36,20,4.9,2.17
43985668,f,Manhattan,2,0.0,0.0,2.0,33,30,2,11,41,268,0,0.0,0.0
43986264,f,Queens,1,0.0,1.0,1.0,36,30,1,31,31,31,3,4.67,0.38
43986314,f,Queens,1,0.0,1.0,1.0,36,30,1,31,31,31,2,5.0,0.19
43986380,f,Queens,2,0.0,1.0,1.0,38,30,29,29,29,29,1,4.0,0.14
43986438,f,Queens,1,0.0,1.0,1.0,34,30,1,31,31,31,0,0.0,0.0
